# title|description|technologies|challenges|solutions|keyFeatures|learnings|link|githubLink|isFeatured
Coffee Website|Development of a responsive landing page for a coffee shop using HTML, CSS, and JavaScript.|JavaScript;CSS;HTML;UI/UX;Semantic HTML;Web Project Management|Creating responsive and modern design;Implementing interactive features;Optimizing for search engines|Developed mobile-first responsive layout;Created interactive UI components;Implemented SEO best practices|Modern and attractive design with responsive layout;Coffee shop presentation section with history and philosophy;Interactive menu with product details;Engagement features including contact forms and rating system;SEO optimization for better search engine visibility|Responsive design implementation;Modern web development practices;SEO optimization techniques|https://mrpunkdasilva.github.io/coffee-website/|https://github.com/mrpunkdasilva/coffee-website/|
Budget App|JavaScript-powered budget management application with interactive features for tracking income and expenses.|JavaScript;HTML;CSS|Structuring efficient budget calculation logic;Developing user-friendly interface;Ensuring calculation accuracy|Implemented real-time calculations;Created responsive design;Developed organized code structure|Income and expense management;Automatic balance calculation;Category organization;Responsive design|JavaScript data manipulation;Dynamic interface development;Performance optimization|https://mrpunkdasilva.github.io/js-bundget-app/|https://github.com/mrpunkdasilva/js-bundget-app|
Cadmo SA - Dental Clinic System|Complete web system for a dental clinic featuring modern interface and comprehensive management capabilities.|JavaScript;jQuery;PHP;MySQL;Git;CSS;PhpMyAdmin|Technology selection within project constraints;Understanding and implementing client requirements;Integration of multiple system components|Applied agile methodologies;Implemented comprehensive system analysis;Developed scalable architecture|Modern and intuitive interface;Database integration;User experience focused design;Complete clinic management|Project management skills;System analysis techniques;Full-stack development practices|||true
Easy Bank - Landing Page|Frontend development of a landing page for a bank|SCSS;JavaScript;Project Management;UX/UI;HTML|Implementation of mobile-first design;Creation of interactive and attractive sections;Efficient integration of HTML, JavaScript, and SCSS|Applied mobile-first design principles;Developed interactive UI components;Created efficient integration workflow|Developed with HTML, JavaScript, and SCSS using mobile-first approach;Optimized design for mobile devices;Interactive sections highlighting bank services;Clear and efficient navigation;Modern and responsive styling with SCSS|Mobile-first development approach;SCSS architecture and organization;Modern frontend development practices;Performance optimization|https://ieasybank.netlify.app/|https://github.com/mrpunkdasilva/fem-easybank|
FocalPoint - Technical Test (To-Do List)|To-Do List application built with Next.js (App Router) and SCSS, featuring fluid navigation and optimized performance.|Next.js;SCSS;TypeScript;Vercel|Maximum design fidelity with precise proportions and gradients;Organizing SCSS code for maintainability and reusability;Meeting 3-day delivery deadline with complete functionality|Implemented responsive and accessible design;Created modular SCSS architecture;Delivered high-quality application within deadline|Next.js App Router implementation;SCSS modular styling;Task management (CRUD operations);Responsive and accessible design;High-performance Vercel deployment|Next.js App Router optimization;SCSS architecture best practices;Frontend development with design focus|https://focalpoint-punk.vercel.app|https://github.com/mrpunkdasilva/focalpoint-teste-tecnico|
Food Website|Modern restaurant website with responsive design and interactive features, built using HTML, CSS, and JavaScript.|HTML;CSS;JavaScript;UX/UI|Implementing responsive design across devices;Creating cohesive brand visual identity;Efficient integration of frontend technologies|Developed mobile-responsive layouts;Created engaging user interface;Implemented smooth navigation system|Interactive menu and photo gallery;Contact form integration;Responsive design;Modern UI/UX;Fluid navigation|Responsive design techniques;Brand identity implementation;Frontend integration practices|https://mrpunkdasilva.github.io/food-website/|https://github.com/mrpunkdasilva/food-website|
Belinha's PetShop Frontend|Interactive pet shop website featuring jQuery animations and responsive design.|HTML;CSS;JavaScript;jQuery|Implementing dynamic jQuery functionalities;Ensuring cross-device responsiveness;Creating intuitive service navigation|Developed interactive animations;Implemented responsive design patterns;Created user-friendly navigation|Dynamic jQuery animations;Responsive layout;Product showcase;Service information;Contact integration|jQuery animation techniques;Responsive design implementation;Frontend integration skills|https://petshopdabelinha.netlify.app/|https://github.com/mrpunkdasilva/Interfaces-Projetos|
hDC Host Landing Page|Mobile-first responsive landing page for hosting platform with modern design and smooth animations.|HTML;CSS;JavaScript;Mobile First|Implementing mobile-first responsive design;Creating smooth scroll animations;Optimizing for various screen sizes|Applied mobile-first methodology;Implemented smooth transitions;Created responsive layouts|Mobile-first approach;Scroll animations;Responsive design;Modern UI;Smooth navigation|Mobile-first development;Animation implementation;Responsive design patterns|https://hdchost.vercel.app/|https://github.com/mrpunkdasilva/HTML5-e-CSS3-Tecnicas-Avancadas-4-projetos|
Simple Recipes|Frontend development of a responsive recipes website, featuring intuitive navigation and dynamic filtering capabilities.|HTML;CSS;JavaScript;UX/UI;Project Management|Creating intuitive navigation for extensive recipe collection;Implementing responsive design across devices;Integrating dynamic JavaScript features|Developed user-friendly interface;Implemented comprehensive filtering system;Created dynamic interactive features|Intuitive recipe navigation;Ingredient and category filters;Responsive design;Dynamic annotations and favorites|User interface optimization;Dynamic feature implementation;Responsive design techniques|https://you-simply-recipes.netlify.app/|https://github.com/mrpunkdasilva/simply-recipes|
Vuether|Weather forecast application built with Vue.js and OpenWeather API, featuring real-time weather updates and responsive design.|Vue.js;JavaScript;REST API;OpenWeather API|Integrating OpenWeather API effectively;Implementing real-time data updates;Creating responsive weather displays|Developed efficient API integration;Created dynamic weather interface;Implemented responsive design|Real-time weather data;Location-based forecasts;Multi-day predictions;Responsive interface|API integration techniques;Vue.js development;Weather data handling|https://vuether-peach.vercel.app/|https://github.com/mrpunkdasilva/vuether|
Halloween Website|Mobile-first responsive Halloween-themed website showcasing modern web development practices.|HTML;CSS;JavaScript;Mobile First|Implementing mobile-first design approach;Creating theme-consistent visual identity;Ensuring cross-device compatibility|Applied mobile-first methodology;Developed cohesive theme design;Created responsive layouts|Mobile-first design;Responsive layout;Theme-based aesthetics;Smooth navigation|Mobile-first development;Theme-based design;Responsive techniques|https://mrpunkdasilva.github.io/responsive-halloween/|https://github.com/mrpunkdasilva/responsive-halloween|
vMovie|Movie search and details webapp built with Vue.js, integrating with OMDb API for comprehensive movie information.|Vue.js;JavaScript;OMDb API;Fetch API|Integrating OMDb API securely;Creating responsive movie displays;Implementing efficient search functionality|Developed secure API integration;Created responsive movie interface;Implemented dynamic search system|Movie search functionality;Detailed movie information;Responsive design;Dynamic navigation|Vue.js development;API integration;Frontend optimization||https://github.com/mrpunkdasilva/vmovies|
Mashup|Real-time social webapp simulating a chat platform with music and 3D avatar rendering capabilities (3D features coming soon, with a 3D cake prototype already implemented).|TypeScript;Next.js;Socket.IO;Tailwind CSS;Redux;THREE.js|Implementing real-time communication features;Integrating 3D rendering capabilities;Creating responsive social app interface;Managing complex state with Redux|Developed Socket.IO integration for real-time features;Created 3D rendering prototype using THREE.js;Implemented responsive UI with Tailwind CSS;Utilized Redux for efficient state management|Real-time chat functionality;Music integration;3D avatar rendering (coming soon);Responsive social interface;Modern TypeScript implementation|Real-time web application development;3D rendering in web applications;State management with Redux;Next.js application architecture|https://mashup-kappa.vercel.app/|https://github.com/mrpunkdasilva/mashup|
CyberNews - Cyberpunk Hacker News Client|A retro-futuristic take on Hacker News, built with Next.js and featuring cyberpunk/retrowave aesthetics.|Next.js;TypeScript;TailwindCSS;Framer Motion;Web Speech API;IndexedDB;Service Workers|Creating an immersive cyberpunk interface with retro effects;Implementing keyboard-first navigation and voice commands;Building offline support and real-time updates;Developing multiple theme customizations|Designed terminal-like interface with CRT screen effects;Implemented vim-style keyboard navigation and voice command system;Created offline support using Service Workers and IndexedDB;Developed multiple cyberpunk themes with customization options|Terminal-like interface with CRT screen effect;Keyboard-first navigation (vim-style);Hacker mode with pure terminal interface;Voice command support;Article decryption animations;Matrix-style rain effect;Retro boot sequence;Multiple cyberpunk themes|Advanced Next.js application development;Voice recognition implementation;Offline-first application architecture;Animation and motion design in web applications|https://cynews.vercel.app/|https://github.com/mrpunkdasilva/cybernews|true
Blood Donation Project|A platform connecting individuals in need of blood with willing blood donors, built with modern web technologies and containerized with Docker.|Next.js;TypeScript;TailwindCSS;Docker;Git|Creating an intuitive interface for connecting blood donors and recipients;Implementing responsive design for accessibility across devices;Setting up containerized development environment with Docker;Collaborating effectively in a team environment|Contributed to interface development with focus on usability;Implemented responsive design using TailwindCSS;Utilized Docker for consistent development environments;Collaborated through Git for version control and team coordination|Donor-recipient matching system;Responsive and accessible interface;Containerized application architecture;Collaborative development workflow|Collaborative development practices;Docker containerization;Modern frontend development with Next.js and TypeScript;Documentation best practices|https://blood-donation-project.vercel.app/|https://github.com/mrpunkdasilva/Blood-Donation-Project|
Tour de Linux|A Linux forum with a pure terminal-like interface experience, designed for Linux enthusiasts to discuss and share knowledge.|HTML;CSS;JavaScript;Terminal UI;Linux|Creating an authentic terminal-like experience on the web;Implementing forum functionality with terminal aesthetics;Balancing usability with the terminal interface concept|Developed terminal-inspired UI with command-line interaction;Created intuitive navigation within terminal constraints;Implemented Linux-themed design elements|Terminal-like user interface;Linux discussion forums;Command-line navigation;Linux community features|Terminal UI implementation in web applications;Linux community engagement patterns;Command-line interface design principles||https://github.com/mrpunkdasilva/tourdelinux|
Rocket.Q|A full-stack interactive Q&A application built with a Node.js and Express backend, using EJS for server-side rendering and SQLite for the database. Users can create password-protected rooms for anonymous questions.|HTML;CSS;JavaScript;Node.js;EJS;Express;SQLite|Implementing secure room creation and management;Developing anonymous question submission system;Creating efficient database structure with SQLite|Developed password-protected room management;Created intuitive anonymous question interface;Implemented efficient data storage with SQLite|Anonymous question submission;Password-protected room management;Question status tracking;Interactive user interface|Full-stack application development;Database design with SQLite;Server-side rendering with EJS;Express.js application architecture|https://nlw-6-discover.vercel.app/|https://github.com/mrpunkdasilva/rocketq|
Music Generics|A responsive frontend website for concert ticket sales and merchandise, featuring modern HTML5 and CSS3 implementation.|HTML5;CSS3;Responsive Design|Creating an attractive and responsive design for ticket sales;Implementing intuitive e-commerce interface for merchandise;Developing mobile-friendly concert information displays|Designed responsive layouts for all device sizes;Created intuitive ticket purchasing interface;Implemented attractive merchandise showcase|Concert ticket sales interface;Merchandise store;Responsive design;Modern visual aesthetics|Responsive design techniques;E-commerce frontend development;Modern CSS3 implementation;User experience design for events|https://mrpunkdasilva.github.io/site-music-generics/|https://github.com/mrpunkdasilva/site-music-generics|
Turtle Python Art|Creative drawings and art made with Python's Turtle graphics library, showcasing programming and artistic skills.|Python;Turtle Graphics|Translating artistic concepts into programmatic instructions;Optimizing drawing algorithms for complex patterns;Creating visually appealing designs with limited graphics tools|Developed efficient drawing algorithms;Created modular code for reusable pattern elements;Implemented creative use of Turtle's movement capabilities|Geometric pattern generation;Artistic drawings through code;Visual programming demonstrations;Creative coding examples|Python programming techniques;Algorithmic thinking for visual art;Geometry and mathematics in programming;Creative coding practices||https://github.com/mrpunkdasilva/Turtle-Python|
My TODO List|A task management application built with ReactJS and TypeScript, featuring modern state management and type safety.|ReactJS;TypeScript;Frontend Development|Implementing type-safe state management;Creating intuitive task organization interface;Developing efficient data persistence|Utilized TypeScript for type safety;Implemented modern React patterns;Created user-friendly task management interface|Task creation and management;Type-safe implementation;Modern React architecture;Intuitive user interface|TypeScript integration with React;Modern state management techniques;Frontend development best practices;User experience design for productivity tools||https://github.com/mrpunkdasilva/my-todo-list-react|
Trick Lix - Digital Library|A digital library platform for book lovers, featuring a clean interface and book management capabilities.|HTML;CSS;JavaScript|Creating an engaging interface for book enthusiasts;Implementing efficient book catalog management;Developing responsive design for various devices|Designed user-friendly book browsing interface;Created responsive layouts for all screen sizes;Implemented intuitive navigation system|Digital book catalog;User-friendly interface;Responsive design;Book lover community features|Frontend development techniques;Digital library implementation;User experience design for readers;Collaborative development practices|https://dev-gustavo-henrique.github.io/trick-lix/|https://github.com/mrpunkdasilva/trick-lix|
Minerva OS|A browser-based operating system simulation with desktop environment and applications, built with web technologies.|HTML;SCSS;JavaScript|Creating an authentic OS experience in the browser;Implementing window management and application switching;Developing a cohesive desktop environment|Designed realistic OS interface and interactions;Implemented window management system;Created simulated applications and system features|Desktop environment simulation;Window management system;Application simulation;OS-like user experience|Complex UI/UX implementation;Advanced JavaScript techniques;Operating system interface design;Browser capabilities and limitations|https://mrpunkdasilva.github.io/minervaOS/|https://github.com/mrpunkdasilva/minervaOS|true
REST API|A RESTful API built with Java and Spring Boot, providing CRUD operations and user authentication for data management.|Java;Spring Boot;MySQL;Maven|Implementing secure authentication system;Creating efficient data management operations;Developing well-structured API documentation|Developed secure authentication mechanisms;Implemented efficient CRUD operations;Created comprehensive API documentation|CRUD operations;User authentication;JSON response format;Comprehensive documentation|RESTful API development;Spring Boot framework;Database integration;API security best practices;Open source contribution||https://github.com/mrpunkdasilva/REST_API|
ChamaSamu - PHP Debugging Library|A simple and useful debugging library for PHP developers that provides methods to display debugging information in a readable and organized manner.|PHP;Composer;Library Development|Creating intuitive debugging methods for various data types;Implementing visually clear output formatting;Developing a package structure for Composer distribution;Ensuring compatibility across PHP environments|Designed specialized debugging methods for different data types;Created visually distinct output formats for different debugging needs;Implemented Composer package structure for easy distribution;Developed consistent API for debugging operations|Floating debug panel for visual output;Specialized formatters for JSON, SQL, XML, and more;Request data inspection (session, GET, POST);Code display with formatting;Multiple output formats (panel, text, table, list)|PHP library development;Composer package creation and distribution;Debugging tool design principles;Developer experience optimization||https://github.com/mrpunkdasilva/ChamaSamu|
LinkBucket|A platform that solves the digital chaos for developers and technology professionals by transforming how they organize and share technical resources online.|React;TypeScript;Java;Spring;Docker|Creating an intuitive organization system for digital resources;Implementing efficient sharing mechanisms for technical content;Developing a scalable full-stack architecture;Ensuring seamless user experience across devices|Designed bucket-based organization system for links;Implemented flexible sharing options for individual and group use;Created robust backend with Java Spring and containerization;Developed responsive frontend with React and TypeScript|Bucket-based link organization;Customizable categorization system;Shareable link collections;Full-stack implementation;Responsive design for all devices|Full-stack application architecture;React and TypeScript integration;Java Spring backend development;Docker containerization;User experience design for productivity tools|https://applinkbucket.vercel.app/|https://github.com/mrpunkdasilva/applinkbucket|true
VNews|VNews is a Feed application built with Vue, Sanity, and Tailwind CSS, providing a modern news reading experience.|Vue.js;Sanity;Tailwind CSS;Frontend Development|Implementing content management with Sanity;Creating responsive feed layout;Developing efficient data fetching mechanisms|Integrated Sanity for content management;Designed responsive UI with Tailwind CSS;Implemented efficient Vue.js components|News feed interface;Content management system integration;Responsive design;Modern UI with Tailwind CSS|Vue.js application development;Headless CMS integration;Tailwind CSS implementation;Modern frontend architecture|https://vnews-three.vercel.app/|https://github.com/mrpunkdasilva/vnews|
Event Platform|Uma plataforma de eventos feita com ReactJS e TypeScript, oferecendo gerenciamento completo de eventos online.|ReactJS;TypeScript;Frontend Development|Criação de sistema de gerenciamento de eventos;Implementação de interface de usuário intuitiva;Desenvolvimento de funcionalidades de registro e participação|Desenvolvido sistema modular com ReactJS;Implementado TypeScript para maior segurança de código;Criado interface responsiva e acessível|Gerenciamento de eventos;Sistema de registro de participantes;Interface de usuário moderna;Implementação com TypeScript|Desenvolvimento React com TypeScript;Arquitetura de aplicações de eventos;Práticas modernas de frontend;Gerenciamento de estado em aplicações React||https://github.com/mrpunkdasilva/event-platform|
Solidários|O Solidários é um site de doações de alimentos, facilitando a conexão entre doadores e pessoas necessitadas.|PHP;MySQL;JavaScript;Web Development|Desenvolvimento de sistema de gerenciamento de doações;Implementação de banco de dados para rastreamento de alimentos;Criação de interface acessível para diferentes tipos de usuários|Desenvolvido sistema de cadastro e gerenciamento de doações;Implementado banco de dados MySQL para armazenamento seguro;Criado interface intuitiva para facilitar o processo de doação|Sistema de cadastro de doações;Gerenciamento de alimentos disponíveis;Interface para conectar doadores e beneficiários;Banco de dados para rastreamento de doações|Desenvolvimento PHP com MySQL;Criação de sistemas de impacto social;Gerenciamento de dados sensíveis;Desenvolvimento de interfaces inclusivas||https://github.com/mrpunkdasilva/solidarios|
Silver Waffle|Um sistema que permite visualizar seguidores do GitHub informando apenas o nome de usuário, utilizando a API do GitHub.|PHP;SCSS;JavaScript;HTML;API Integration|Integração com a API do GitHub;Processamento e exibição de dados de usuários;Desenvolvimento de interface responsiva e atraente|Implementado integração eficiente com a API do GitHub;Desenvolvido sistema de processamento de dados de usuários;Criado interface visual com SCSS para melhor experiência|Consulta de seguidores do GitHub;Visualização de perfis de usuários;Interface responsiva e moderna;Integração com API externa|Integração com APIs externas;Desenvolvimento PHP moderno;Estilização avançada com SCSS;Manipulação de dados JSON||https://github.com/mrpunkdasilva/silver-waffle|
Gallery React|Uma galeria de imagens desenvolvida com ReactJS e TypeScript, oferecendo uma experiência visual moderna e responsiva.|ReactJS;TypeScript;Frontend Development|Implementação de galeria de imagens responsiva;Otimização de carregamento de imagens;Desenvolvimento de interface de usuário intuitiva|Desenvolvido componentes React reutilizáveis;Implementado carregamento otimizado de imagens;Criado interface responsiva para diferentes dispositivos|Galeria de imagens responsiva;Navegação intuitiva entre imagens;Visualização otimizada para diferentes dispositivos;Implementação com TypeScript para maior segurança|Desenvolvimento React com TypeScript;Otimização de performance em aplicações web;Gerenciamento de estado em componentes React;Técnicas modernas de UI/UX|http://mypixelvault.vercel.app/|https://github.com/mrpunkdasilva/PixelVault|
RPG Game React|Um jogo de RPG desenvolvido com React e TypeScript, oferecendo uma experiência de jogo interativa no navegador.|React;TypeScript;Game Development|Implementação de mecânicas de jogo em ambiente web;Desenvolvimento de sistema de movimento e interação;Criação de lógica de jogo com TypeScript|Desenvolvido sistema de movimento e interação;Implementado lógica de jogo com TypeScript;Criado componentes React para elementos do jogo|Sistema de movimento de personagem;Interação com objetos e NPCs;Mecânicas de RPG em ambiente web;Desenvolvimento com TypeScript para maior segurança|Desenvolvimento de jogos com React;Implementação de lógica de jogo em TypeScript;Gerenciamento de estado em aplicações complexas;Técnicas de renderização eficiente||https://github.com/mrpunkdasilva/rpggame-react|
Altair Books|O Altair Books é um projeto que consiste em armazenar livros de tecnologia de modo livre, oferecendo acesso a conhecimento técnico.|React;JavaScript;MySQL;Full Stack Development|Desenvolvimento de sistema de catalogação de livros;Implementação de banco de dados para armazenamento de informações;Criação de interface de usuário para acesso aos livros|Desenvolvido sistema de catalogação e busca de livros;Implementado banco de dados MySQL para armazenamento;Criado interface React para visualização e acesso aos livros|Catálogo de livros de tecnologia;Sistema de busca e filtragem;Interface de usuário moderna e responsiva;Integração com banco de dados MySQL|Desenvolvimento full stack com React e MySQL;Gerenciamento de dados bibliográficos;Implementação de sistemas de busca;Técnicas de UI/UX para plataformas educacionais|https://altair-books.vercel.app/|https://github.com/mrpunkdasilva/altair-books|
